,User,Date,Tweet,Tweets Ago,Compound,Negative,Neutral,Positive
100,@BBCNews,Fri Sep 21 12:48:21 +0000 2018,Father riding late daughter's tiny bike 200 miles for charity https://t.co/Mo39gtGTZb,101,0.4215,0.781,0.0,0.219
101,@BBCNews,Fri Sep 21 12:47:16 +0000 2018,"Theresa May set to make statement on #Brexit negotiations

https://t.co/QKIhAm10cS https://t.co/afg1EyB158",102,0.0,1.0,0.0,0.0
102,@BBCNews,Fri Sep 21 12:21:09 +0000 2018,"RT @BBCPolitics: ""I'm confident we'll get there"" - #Brexit Secretary @DominicRaab tells #brexitcastlive https://t.co/OGg2Of1uiG #politicsli…",103,0.4939,0.802,0.0,0.198
103,@BBCNews,Fri Sep 21 12:12:58 +0000 2018,"RT @BBC_HaveYourSay: ""I'm in tears! I feel grateful that anyone would take the time to fix up his photo,"" wrote Alexiz Connolly when his da…",104,0.3382,0.809,0.07,0.121
104,@BBCNews,Fri Sep 21 12:05:39 +0000 2018,"RT @BBCBreaking: UK PM Theresa May to make statement in Downing Street on state of #Brexit negotiations at 13:45 BST

https://t.co/SUQnGZEP…",105,0.0,1.0,0.0,0.0
105,@BBCNews,Fri Sep 21 11:54:20 +0000 2018,"RT @BBCPolitics: ""Whose fault was it that yesterday broke down - the EU or the UK's? @bbclaurak asks #Brexit Secretary @DominicRaab 

#poli…",106,-0.6705,0.776,0.224,0.0
106,@BBCNews,Fri Sep 21 11:43:37 +0000 2018,"RT @BBCPolitics: ""Some of the way that it was done, social media against the PM, did not feel to me very like statesman-like behaviour"" @Do…",107,0.4201,0.896,0.0,0.104
107,@BBCNews,Fri Sep 21 11:37:00 +0000 2018,"RT @BBCPolitics: We've been ""rebuffed"" on our plans without any ""coherent explanation"" or ""credible alternatives"" - #Brexit Secretary @Domi…",108,0.0,1.0,0.0,0.0
108,@BBCNews,Fri Sep 21 11:18:15 +0000 2018,"Get that #FridayFeeling!

Join #Brexitcast as it takes over #PoliticsLive now on @BBCTwo

https://t.co/FUM1TrIWTN… https://t.co/W4YCt2yrAw",109,0.3595,0.849,0.0,0.151
109,@BBCNews,Fri Sep 21 11:08:33 +0000 2018,"""I want UKIP to be the party that represents the interests of ordinary people"" -  UKIP leader Gerard Batten address… https://t.co/I0qUKvZ6o0",110,0.6124,0.739,0.0,0.261
110,@BBCNews,Fri Sep 21 11:03:05 +0000 2018,Christine and Frank Lampard have baby girl https://t.co/aZjXXjH7zt,111,0.0,1.0,0.0,0.0
111,@BBCNews,Fri Sep 21 11:01:23 +0000 2018,Chris Evans reveals baby twins' names https://t.co/NDoZwT9ZXj,112,0.0,1.0,0.0,0.0
